price,brand,model,version,year,km,doors,fuel
19.890,Fiat,Palio,PALIO ELX FLEX 1.0,2010,69000 km,4,Gasolina e Álcool (flex)
17.900,Fiat,Palio,FIRE ECONOMY,2012,100 km,2,Gasolina e Álcool (flex)
17.990,Fiat,Palio,1.3 Mpi Fire Elx Weekend 8v,2005,157823 km,4,Gasolina e álcool
21.900,Fiat,Palio,Elx,2010,147956 km,4,Gasolina e álcool
25.900,Fiat,Palio,2015,49000 km,4,Gasolina e Álcool (flex)
22.900,Fiat,Palio,FIRE ECONOMY 1.0 4P,2010,1 km,4,Gasolina e Álcool (flex)
11.900,Fiat,Palio,EDX 1.0,1999,100 km,4,Gasolina
33.899,Fiat,Palio,ATTRACTIVE 1.4 FLEX,2015,35000 km,4,Gasolina e álcool,Coupé
22.900,Fiat,Palio,FIRE ECONOMY 1.0 4P,2010,1 km,4,Gasolina e Álcool (flex)
22.990,Fiat,Palio,1.0 Economy,2013,76250 km,04,Gasolina e álcool
26.900,Fiat,Palio,2014,20000 km,4,Gasolina e Álcool (flex)
19.900,Fiat,Palio,1.0 Economy FireFlex 8V 2p,2012,1 km,2,Gasolina e Álcool (flex)
14.990,Fiat,Palio,2008,95000 km,4,Gasolina e Álcool (flex)
14.900,Fiat,Palio,2008,80000 km,4,Gasolina e álcool
26.990,Fiat,Palio,1.0 Mpi Attractive 8v,2013,141105 km,4,Gasolina e álcool
18.900,Fiat,Palio,1.0 Flex,2015,24000 km,2,Gasolina e álcool
17.899,Fiat,Palio,1.4 MPI ELX 8V,2008,116235 km,4,Gasolina e álcool
37.900,Fiat,Palio,2016,10706 km,4,Gasolina e álcool
36.900,Fiat,Palio,2015,34000 km,4,Gasolina e Álcool (flex)
21.900,Fiat,Palio,1.0 Economy FireFlex 8V 4p,2011,1 km,4,Gasolina e Álcool (flex)
31.900,Fiat,Palio,ESSENCE 1.6,2012,1 km,4,Gasolina e álcool
16.900,Fiat,Palio,2008,104000 km,4,Gasolina e álcool
24.900,Fiat,Palio,2014,49900 km,4,Gasolina e Álcool (flex)
13.000,Fiat,Palio,Palio Weekend Stile 1.6 16v,2002,223633 km,4,Gasolina
19.900,Fiat,Palio,2011,124705 km,4,Gasolina e Álcool (flex)
22.900,Fiat,Palio,1.0 MPI FIRE ECONOMY 8V,2010,92000 km,4,Gasolina e álcool
22.900,Fiat,Palio,Economy,2012,100 km,4,Gasolina e Álcool (flex)
37.990,Fiat,Palio,ATRACTIVE,2016,17000 km,4,Gasolina e Álcool (flex)
24.900,Fiat,Palio, ELX 1.4 MPI FIRE FLEX 8V 4P,2010,61000 km,4,Gasolina e Álcool (flex)
29.800,Fiat,Palio,1.4 Mpi Atractive 8v Flex 4p Manual,2014,57500 km,4,Gasolina e álcool
31.900,Fiat,Palio,ESSENCE 1.6,2012,1 km,4,Gasolina e álcool
16.900,Fiat,Palio,2004,105000 km,4,Gasolina e Álcool (flex)
18.493,Fiat,Palio,2013,54225 km,02,Gasolina e Álcool (flex)
27.800,Fiat,Palio,ATTRACTIVE 1.0 FIRE FLEX 8V 5P,2014,75000 km,4,Gasolina e Álcool (flex)
7.000,Fiat,Palio,EDX 1.0 mpi 4p,1997,16000000 km,4,Gasolina
13.900,Fiat,Palio,1.0 FIRE,2007,99000 km,4,Gasolina e Álcool (flex)
